Description,pvalue,cluster
GO:0043392_negative regulation of DNA binding,1,8
GO:0043434_response to peptide hormone,0.0456,8
GO:0043572_plastid fission,1,8
GO:0043605_cellular amide catabolic process,1,8
GO:0043619_regulation of transcription from RNA polymerase II promoter in response to oxidative stress,1,8
GO:0043620_regulation of DNA-templated transcription in response to stress,0.162,8
GO:0043648_dicarboxylic acid metabolic process,0.888,8
GO:0043649_dicarboxylic acid catabolic process,1,8
GO:0043693_monoterpene biosynthetic process,1,8
GO:0044010_single-species biofilm formation,0.0384,8
GO:0044011_single-species biofilm formation on inanimate substrate,0.0384,8
GO:0044057_regulation of system process,0.129,8
GO:0044068_modulation by symbiont of host cellular process,1,8
GO:0044247_cellular polysaccharide catabolic process,1,8
GO:0044273_sulfur compound catabolic process,1,8
GO:0044743_protein transmembrane import into intracellular organelle,1,8
GO:0045016_mitochondrial magnesium ion transmembrane transport,1,8
GO:0045037_protein import into chloroplast stroma,1,8
GO:0045038_protein import into chloroplast thylakoid membrane,1,8
GO:0045039_protein insertion into mitochondrial inner membrane,1,8
GO:0045089_positive regulation of innate immune response,0.0209,8
GO:0045176_apical protein localization,1,8
GO:0045332_phospholipid translocation,0.0283,8
GO:0045444_fat cell differentiation,1,8
GO:0045454_cell redox homeostasis,0.94,8
GO:0045465_R8 cell differentiation,1,8
GO:0045487_gibberellin catabolic process,1,8
GO:0045639_positive regulation of myeloid cell differentiation,1,8
GO:0045649_regulation of macrophage differentiation,1,8
GO:0045651_positive regulation of macrophage differentiation,1,8
GO:0045727_positive regulation of translation,1,8
GO:0045837_negative regulation of membrane potential,1,8
GO:0045879_negative regulation of smoothened signaling pathway,1,8
GO:0045995_regulation of embryonic development,0.24,8
GO:0046037_GMP metabolic process,1,8
GO:0046040_IMP metabolic process,1,8
GO:0046134_pyrimidine nucleoside biosynthetic process,1,8
GO:0046177_D-gluconate catabolic process,1,8
GO:0046184_aldehyde biosynthetic process,1,8
GO:0046209_nitric oxide metabolic process,0.0209,8
GO:0046217_indole phytoalexin metabolic process,0.0131,8
GO:0046247_terpene catabolic process,1,8
GO:0046292_formaldehyde metabolic process,1,8
GO:0046320_regulation of fatty acid oxidation,1,8
GO:0046331_lateral inhibition,1,8
GO:0046373_L-arabinose metabolic process,1,8
GO:0046457_prostanoid biosynthetic process,1,8
GO:0046496_nicotinamide nucleotide metabolic process,0.247,8
GO:0046622_positive regulation of organ growth,1,8
GO:0046683_response to organophosphorus,0.217,8
"GO:0046740_transport of virus in host, cell to cell",1,8
GO:0046903_secretion,0.696,8
"GO:0048025_negative regulation of mRNA splicing, via spliceosome",1,8
GO:0048194_Golgi vesicle budding,1,8
GO:0048312_intracellular distribution of mitochondria,1,8
GO:0048332_mesoderm morphogenesis,1,8
GO:0048439_flower morphogenesis,1,8
GO:0048462_carpel formation,1,8
GO:0048480_stigma development,0.0571,8
GO:0048511_rhythmic process,1,8
GO:0048527_lateral root development,0.147,8
GO:0048530_fruit morphogenesis,1,8
GO:0048533_sporocyte differentiation,1,8
GO:0048730_epidermis morphogenesis,1,8
GO:0048742_regulation of skeletal muscle fiber development,1,8
GO:0050665_hydrogen peroxide biosynthetic process,1,8
GO:0050727_regulation of inflammatory response,1,8
GO:0050777_negative regulation of immune response,1,8
GO:0050877_nervous system process,0.0151,8
GO:0050992_dimethylallyl diphosphate biosynthetic process,1,8
GO:0051016_barbed-end actin filament capping,1,8
GO:0051031_tRNA transport,1,8
GO:0051069_galactomannan metabolic process,1,8
GO:0051070_galactomannan biosynthetic process,1,8
GO:0051153_regulation of striated muscle cell differentiation,1,8
GO:0051156_glucose 6-phosphate metabolic process,0.902,8
GO:0051168_nuclear export,1,8
GO:0051180_vitamin transport,1,8
GO:0051204_protein insertion into mitochondrial membrane,1,8
GO:0051205_protein insertion into membrane,1,8
GO:0051216_cartilage development,1,8
GO:0051260_protein homooligomerization,1,8
GO:0051262_protein tetramerization,1,8
GO:0051504_diterpene phytoalexin precursor biosynthetic process pathway,0.145,8
GO:0051513_regulation of monopolar cell growth,1,8
GO:0051645_Golgi localization,1,8
GO:0051646_mitochondrion localization,1,8
GO:0051693_actin filament capping,1,8
GO:0051775_response to redox state,1,8
GO:0051865_protein autoubiquitination,0.0143,8
GO:0051930_regulation of sensory perception of pain,0.0663,8
GO:0051931_regulation of sensory perception,0.0663,8
GO:0051952_regulation of amine transport,1,8
GO:0051955_regulation of amino acid transport,1,8
GO:0052126_movement in host environment,1,8
GO:0052173_response to defenses of other organism,1,8
GO:0052200_response to host defenses,1,8
GO:0052317_camalexin metabolic process,0.0104,8
GO:0052544_defense response by callose deposition in cell wall,0.387,8
GO:0052553_modulation by symbiont of host immune response,1,8
GO:0052559_induction by symbiont of host immune response,1,8
GO:0052572_response to host immune response,1,8
GO:0052646_alditol phosphate metabolic process,1,8
GO:0052837_thiazole biosynthetic process,1,8
GO:0055089_fatty acid homeostasis,1,8
GO:0055090_acylglycerol homeostasis,1,8
GO:0055091_phospholipid homeostasis,1,8
GO:0060151_peroxisome localization,1,8
GO:0060292_long-term synaptic depression,1,8
GO:0060294_cilium movement involved in cell motility,1,8
GO:0060359_response to ammonium ion,1,8
GO:0060401_cytosolic calcium ion transport,0.0194,8
GO:0060402_calcium ion transport into cytosol,0.0194,8
GO:0060416_response to growth hormone,1,8
GO:0060776_simple leaf morphogenesis,1,8
GO:0060860_regulation of floral organ abscission,1,8
GO:0060862_negative regulation of floral organ abscission,1,8
GO:0061077_chaperone-mediated protein folding,1,8
GO:0061158_3'-UTR-mediated mRNA destabilization,1,8
GO:0061448_connective tissue development,1,8
GO:0065001_specification of axis polarity,1,8
GO:0070189_kynurenine metabolic process,1,8
GO:0070328_triglyceride homeostasis,1,8
GO:0070407_oxidation-dependent protein catabolic process,1,8
GO:0070413_trehalose metabolism in response to stress,1,8
GO:0070483_detection of hypoxia,1,8
GO:0070646_protein modification by small protein removal,0.994,8
GO:0070813_hydrogen sulfide metabolic process,1,8
GO:0070814_hydrogen sulfide biosynthetic process,1,8
GO:0070941_eisosome assembly,1,8
GO:0071216_cellular response to biotic stimulus,1,8
GO:0071229_cellular response to acid chemical,0.131,8
GO:0071284_cellular response to lead ion,1,8
GO:0071322_cellular response to carbohydrate stimulus,1,8
GO:0071329_cellular response to sucrose stimulus,1,8
GO:0071366_cellular response to indolebutyric acid stimulus,1,8
GO:0071422_succinate transmembrane transport,1,8
GO:0071431_tRNA-containing ribonucleoprotein complex export from nucleus,1,8
GO:0071450_cellular response to oxygen radical,1,8
GO:0071451_cellular response to superoxide,1,8
GO:0071454_cellular response to anoxia,1,8
GO:0071457_cellular response to ozone,1,8
GO:0071461_cellular response to redox state,1,8
GO:0071462_cellular response to water stimulus,0.108,8
GO:0071470_cellular response to osmotic stress,0.614,8
GO:0071474_cellular hyperosmotic response,1,8
GO:0071475_cellular hyperosmotic salinity response,1,8
GO:0071484_cellular response to light intensity,1,8
GO:0071486_cellular response to high light intensity,1,8
GO:0071616_acyl-CoA biosynthetic process,1,8
GO:0071918_urea transmembrane transport,1,8
GO:0071926_endocannabinoid signaling pathway,1,8
GO:0071930_negative regulation of transcription involved in G1/S transition of mitotic cell cycle,1,8
GO:0071994_phytochelatin transmembrane transport,1,8
GO:0072334_UDP-galactose transmembrane transport,1,8
GO:0072337_modified amino acid transport,1,8
GO:0072488_ammonium transmembrane transport,1,8
GO:0072489_methylammonium transmembrane transport,1,8
GO:0075136_response to host,1,8
GO:0080021_response to benzoic acid,0.0384,8
GO:0080026_response to indolebutyric acid,1,8
GO:0080036_regulation of cytokinin-activated signaling pathway,1,8
GO:0080052_response to histidine,1,8
GO:0080053_response to phenylalanine,1,8
GO:0080091_regulation of raffinose metabolic process,0.029,8
GO:0080093_regulation of photorespiration,1,8
GO:0080114_positive regulation of glycine hydroxymethyltransferase activity,1,8
GO:0080117_secondary growth,1,8
GO:0080127_fruit septum development,1,8
GO:0080136_priming of cellular response to stress,1,8
GO:0080142_regulation of salicylic acid biosynthetic process,1,8
GO:0080143_regulation of amino acid export,1,8
GO:0080148_negative regulation of response to water deprivation,1,8
GO:0080149_sucrose induced translational repression,1,8
GO:0080152_regulation of reductive pentose-phosphate cycle,1,8
GO:0080153_negative regulation of reductive pentose-phosphate cycle,1,8
GO:0080156_mitochondrial mRNA modification,1,8
GO:0080157_regulation of plant-type cell wall organization or biogenesis,1,8
GO:0080163_regulation of protein serine/threonine phosphatase activity,1,8
GO:0080164_regulation of nitric oxide metabolic process,0.0117,8
GO:0080170_hydrogen peroxide transmembrane transport,1,8
GO:0080181_lateral root branching,1,8
GO:0080183_response to photooxidative stress,1,8
GO:0080186_developmental vegetative growth,1,8
GO:0080190_lateral growth,1,8
GO:0090056_regulation of chlorophyll metabolic process,1,8
GO:0090057_root radial pattern formation,1,8
GO:0090151_establishment of protein localization to mitochondrial membrane,1,8
GO:0090352_regulation of nitrate assimilation,1,8
GO:0090391_granum assembly,1,8
GO:0090481_pyrimidine nucleotide-sugar transmembrane transport,1,8
"GO:0090503_RNA phosphodiester bond hydrolysis, exonucleolytic",1,8
GO:0090605_submerged biofilm formation,0.0384,8
GO:0090609_single-species submerged biofilm formation,0.0384,8
GO:0097035_regulation of membrane lipid distribution,0.0388,8
GO:0097722_sperm motility,1,8
GO:0098630_aggregation of unicellular organisms,0.0384,8
GO:0098743_cell aggregation,0.0384,8
GO:0098916_anterograde trans-synaptic signaling,0.0264,8
GO:0099536_synaptic signaling,0.0264,8
GO:0099537_trans-synaptic signaling,0.0264,8
GO:0101030_tRNA-guanine transglycosylation,1,8
GO:0120253_hydrocarbon catabolic process,1,8
GO:0140253_cell-cell fusion,1,8
GO:0140352_export from cell,0.831,8
GO:1900030_regulation of pectin biosynthetic process,0.0194,8
GO:1900037_regulation of cellular response to hypoxia,0.029,8
GO:1900055_regulation of leaf senescence,0.304,8
GO:1900424_regulation of defense response to bacterium,1,8
GO:1900425_negative regulation of defense response to bacterium,1,8
GO:1900426_positive regulation of defense response to bacterium,1,8
GO:1900864_mitochondrial RNA modification,1,8
GO:1900865_chloroplast RNA modification,1,8
GO:1901038_cyanidin 3-O-glucoside metabolic process,1,8
GO:1901064_syringal lignin metabolic process,0.0384,8
GO:1901066_syringal lignin biosynthetic process,0.0384,8
GO:1901264_carbohydrate derivative transport,1,8
GO:1901401_regulation of tetrapyrrole metabolic process,1,8
GO:1901404_regulation of tetrapyrrole catabolic process,1,8
GO:1901405_negative regulation of tetrapyrrole catabolic process,1,8
GO:1901428_regulation of syringal lignin biosynthetic process,0.0384,8
GO:1901430_positive regulation of syringal lignin biosynthetic process,0.0384,8
GO:1901562_response to paraquat,1,8
GO:1901652_response to peptide,0.048,8
GO:1901804_beta-glucoside metabolic process,1,8
GO:1901806_beta-glucoside biosynthetic process,1,8
GO:1901879_regulation of protein depolymerization,1,8
GO:1902223_erythrose 4-phosphate/phosphoenolpyruvate family amino acid biosynthetic process,0.162,8
GO:1902290_positive regulation of defense response to oomycetes,1,8
GO:1902395_regulation of 1-deoxy-D-xylulose-5-phosphate synthase activity,1,8
GO:1902584_positive regulation of response to water deprivation,1,8
GO:1902586_multi-organism intercellular transport,1,8
GO:1903173_fatty alcohol metabolic process,1,8
GO:1903314_regulation of nitrogen cycle metabolic process,1,8
GO:1903647_negative regulation of chlorophyll catabolic process,1,8
GO:1903789_regulation of amino acid transmembrane transport,1,8
GO:1904823_purine nucleobase transmembrane transport,1,8
GO:1905156_negative regulation of photosynthesis,1,8
GO:1990066_energy quenching,1,8
GO:1990258_histone glutamine methylation,1,8
GO:1990542_mitochondrial transmembrane transport,1,8
GO:1990822_basic amino acid transmembrane transport,1,8
GO:2000022_regulation of jasmonic acid mediated signaling pathway,0.297,8
GO:2000025_regulation of leaf formation,1,8
GO:2000027_regulation of animal organ morphogenesis,1,8
GO:2000032_regulation of secondary shoot formation,1,8
GO:2000037_regulation of stomatal complex patterning,1,8
GO:2000038_regulation of stomatal complex development,1,8
GO:2000068_regulation of defense response to insect,1,8
GO:2000070_regulation of response to water deprivation,1,8
GO:2000122_negative regulation of stomatal complex development,1,8
GO:2000124_regulation of endocannabinoid signaling pathway,1,8
GO:2000158_positive regulation of ubiquitin-specific protease activity,1,8
GO:2000209_regulation of anoikis,1,8
GO:2000603_regulation of secondary growth,1,8
GO:2000605_positive regulation of secondary growth,1,8
GO:2000904_regulation of starch metabolic process,1,8
GO:2001057_reactive nitrogen species metabolic process,0.0113,8
GO:2001295_malonyl-CoA biosynthetic process,1,8
GO:0009699_phenylpropanoid biosynthetic process,0.905,9
GO:0010310_regulation of hydrogen peroxide metabolic process,0.0000041,9
GO:0009813_flavonoid biosynthetic process,0.95,9
"GO:0009862_systemic acquired resistance, salicylic acid mediated signaling pathway",4.20E-14,9
GO:0051704_multi-organism process,4.40E-10,9
GO:0001666_response to hypoxia,0.00104,9
GO:0010200_response to chitin,8.10E-16,9
GO:0044283_small molecule biosynthetic process,0.883,9
GO:0002215_defense response to nematode,1,9
GO:0050832_defense response to fungus,4.40E-14,9
GO:0031640_killing of cells of other organism,0.592,9
GO:0009595_detection of biotic stimulus,0.000011,9
GO:0009611_response to wounding,1.50E-10,9
GO:0009743_response to carbohydrate,4.40E-14,9
GO:0009701_isoflavonoid phytoalexin biosynthetic process,1,9
GO:0080027_response to herbivore,0.336,9
GO:0009695_jasmonic acid biosynthetic process,0.00015,9
GO:0009753_response to jasmonic acid,0.00505,9
GO:0044036_cell wall macromolecule metabolic process,0.433,9
GO:0009805_coumarin biosynthetic process,0.00475,9
GO:0002679_respiratory burst involved in defense response,0.000000014,9
GO:0046274_lignin catabolic process,0.217,9
GO:0009612_response to mechanical stimulus,0.00538,9
GO:0030968_endoplasmic reticulum unfolded protein response,7.20E-29,9
GO:0010117_photoprotection,1,9
GO:0009807_lignan biosynthetic process,0.536,9
GO:1900378_positive regulation of secondary metabolite biosynthetic process,0.0000032,9
GO:0080113_regulation of seed growth,0.559,9
GO:0010089_xylem development,0.695,9
GO:0006950_response to stress,0.904,9
GO:0009696_salicylic acid metabolic process,0.328,9
GO:0010363_regulation of plant-type hypersensitive response,5.40E-19,9
GO:0042742_defense response to bacterium,0.0000018,9
GO:0010052_guard cell differentiation,1,9
GO:0010023_proanthocyanidin biosynthetic process,0.581,9
